name,industry,symbol
360 ONE WAM Ltd.,Financial Services,360ONE
3M India Ltd.,Diversified,3MINDIA
ABB India Ltd.,Capital Goods,ABB
ACC Ltd.,Construction Materials,ACC
AIA Engineering Ltd.,Capital Goods,AIAENG
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
AU Small Finance Bank Ltd.,Financial Services,AUBANK
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS
Aarti Industries Ltd.,Chemicals,AARTIIND
Aavas Financiers Ltd.,Financial Services,AAVAS
Abbott India Ltd.,Healthcare,ABBOTINDIA
Adani Energy Solutions Ltd.,Power,ADANIENSOL
Adani Enterprises Ltd.,Metals & Mining,ADANIENT
Adani Green Energy Ltd.,Power,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
Adani Power Ltd.,Power,ADANIPOWER
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM
Aether Industries Ltd.,Chemicals,AETHER
Affle (India) Ltd.,Information Technology,AFFLE
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD
Alkem Laboratories Ltd.,Healthcare,ALKEM
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT
Amber Enterprises India Ltd.,Consumer Durables,AMBER
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
Angel One Ltd.,Financial Services,ANGELONE
Anupam Rasayan India Ltd.,Chemicals,ANURAS
Apar Industries Ltd.,Capital Goods,APARINDS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS
Archean Chemical Industries Ltd.,Chemicals,ACI
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
Asian Paints Ltd.,Consumer Durables,ASIANPAINT
Aster DM Healthcare Ltd.,Healthcare,ASTERDM
Astral Ltd.,Capital Goods,ASTRAL
Atul Ltd.,Chemicals,ATUL
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED
Avenue Supermarts Ltd.,Consumer Services,DMART
Axis Bank Ltd.,Financial Services,AXISBANK
BASF India Ltd.,Chemicals,BASF
BEML Ltd.,Capital Goods,BEML
BLS International Services Ltd.,Consumer Services,BLS
BSE Ltd.,Financial Services,BSE
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
Bajaj Finance Ltd.,Financial Services,BAJFINANCE
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG
Balaji Amines Ltd.,Chemicals,BALAMINES
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN
Bandhan Bank Ltd.,Financial Services,BANDHANBNK
Bank of Baroda,Financial Services,BANKBARODA
Bank of India,Financial Services,BANKINDIA
Bank of Maharashtra,Financial Services,MAHABANK
Bata India Ltd.,Consumer Durables,BATAINDIA
Bayer Cropscience Ltd.,Chemicals,BAYERCROP
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT
Bharat Dynamics Ltd.,Capital Goods,BDL
Bharat Electronics Ltd.,Capital Goods,BEL
Bharat Forge Ltd.,Capital Goods,BHARATFORG
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI
Biocon Ltd.,Healthcare,BIOCON
Birla Corporation Ltd.,Construction Materials,BIRLACORPN
